canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,target_name
NCCCCCCCCCCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,CHEMBL140491,IC50,nM,388000.0,IC50,uM,388.0,CHRNA1
NCCCCCCCCCCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,CHEMBL140491,IC50,nM,17200.0,IC50,uM,17.2,CHRNA1
NCCCCCCCCCCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CC1CCCCC1,CHEMBL140057,IC50,nM,1000000.0,IC50,uM,1000.0,CHRNA1
NCCCCCCCCCCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CC1CCCCC1,CHEMBL140057,IC50,nM,151000.0,IC50,uM,151.0,CHRNA1
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCCCCCCCCCCN,CHEMBL15998,IC50,nM,15100.0,IC50,uM,15.1,CHRNA1
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCCCCCCCCCCN,CHEMBL15998,IC50,nM,790.0,IC50,uM,0.79,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)CC1CCCCC1,CHEMBL342258,IC50,nM,30700.0,IC50,uM,30.7,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)CC1CCCCC1,CHEMBL342258,IC50,nM,4470.0,IC50,uM,4.47,CHRNA1
CCCC(=O)N[C@@H](Cc1cccc(O)c1)C(=O)NCCCOCCCCOCCCN,CHEMBL336882,IC50,nM,110000.0,IC50,uM,110.0,CHRNA1
CCCC(=O)N[C@@H](Cc1cccc(O)c1)C(=O)NCCCOCCCCOCCCN,CHEMBL336882,IC50,nM,42600.0,IC50,uM,42.6,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)CC1CCCCC1,CHEMBL342235,IC50,nM,59800.0,IC50,uM,59.8,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)CC1CCCCC1,CHEMBL342235,IC50,nM,5330.0,IC50,uM,5.33,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CC1CCCCC1,CHEMBL137909,IC50,nM,86900.0,IC50,uM,86.9,CHRNA1
NCCCNCCCCNCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CC1CCCCC1,CHEMBL137909,IC50,nM,13200.0,IC50,uM,13.2,CHRNA1
CCCC(=O)N[C@@H](Cc1cccc(O)c1)C(=O)NCCCNCCCCNCCCN,CHEMBL344258,IC50,nM,1000000.0,IC50,uM,1000.0,CHRNA1
CCCC(=O)N[C@@H](Cc1cccc(O)c1)C(=O)NCCCNCCCCNCCCN,CHEMBL344258,IC50,nM,117000.0,IC50,uM,117.0,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,CHEMBL139085,IC50,nM,35000.0,IC50,uM,35.0,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cc1ccccc1,CHEMBL139085,IC50,nM,12600.0,IC50,uM,12.6,CHRNA1
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCNCCCCNCCCN,CHEMBL16117,IC50,nM,56700.0,IC50,uM,56.7,CHRNA1
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCNCCCCNCCCN,CHEMBL16117,IC50,nM,11800.0,IC50,uM,11.8,CHRNA1
